Feature_1,Feature_2,Correlation,Abs_Correlation
is_zero_Iref,Ib_rollmean,0.0002701830299823038,0.0002701830299823038
Iref_rollmean,Power_factor,0.0002624645356520555,0.0002624645356520555
Iref_error,Power_VbIb,-0.0002619568299629389,0.0002619568299629389
dIa_dt,Power_VcIc,0.00019621205509389093,0.00019621205509389093
Ic_Ia_ratio,Vmean,-0.00019330930561428704,0.00019330930561428704
dVb_dt,Power_VbIb,-0.0001791053808033876,0.0001791053808033876
Ib,Power_factor,0.00017134498762867847,0.00017134498762867847
dVa_dt,Vb_rollstd,-0.0001660062676526885,0.0001660062676526885
Ic_Ia_ratio,dIa_dt,0.00012992208000831075,0.00012992208000831075
dImean_dt,Ic_rollstd,-0.00011871955900610478,0.00011871955900610478
Vb_rollstd,Idiff_ca,0.00010365278966266497,0.00010365278966266497
Apparent_Power,dIa_dt,-7.013083586583939e-05,7.013083586583939e-05
Power_factor,Apparent_Power,4.8035217598908595e-05,4.8035217598908595e-05
Iref_error,Ic_Ia_ratio,-4.6644514734165294e-05,4.6644514734165294e-05
Power_factor,Vmean,-4.295948474016557e-05,4.295948474016557e-05
is_zero_Iref,dVa_dt,-3.619173664508594e-05,3.619173664508594e-05
is_zero_Iref,Power_VbIb,-2.112706006837383e-05,2.112706006837383e-05
Vmean,Power_VcIc,-1.9501570671149484e-05,1.9501570671149484e-05
dImean_dt,dVc_dt,-8.759719426581368e-06,8.759719426581368e-06
dImean_dt,Power_factor,7.910198302918249e-06,7.910198302918249e-06
Ic_Ia_ratio,Power_factor,2.266834752132915e-06,2.266834752132915e-06
